project_id,project_year,consultant_id,client_id,service_area,project_type,department_owner,associate_assigned,billable_travel,billable_shipping,candidate_count,estimated_bill,invoice_total,project_cost,bid_discrepancy,net_profit
SYN-0025,Year_1,Consultant_B,Client_032,Area_B,assessment_center,Consulting,FALSE,TRUE,FALSE,42,13565.64,14194.64,8120.55,629.0,6074.09
SYN-0026,Year_1,Consultant_F,Client_020,Area_B,product_license,Unlisted,FALSE,FALSE,FALSE,34,4604.31,5974.58,954.39,1370.27,5020.19
SYN-0027,Year_1,Consultant_D,Client_025,Area_A,structured_interview,Operations,TRUE,FALSE,FALSE,24,8844.86,9073.03,3788.1,228.17,5284.93
SYN-0028,Year_1,Consultant_G,Client_034,Area_D,product_license,Unlisted,FALSE,FALSE,FALSE,5,2129.68,1808.13,452.48,-321.55,1355.65
SYN-0029,Year_1,Consultant_F,Client_014,Area_C,structured_interview,Consulting,TRUE,FALSE,FALSE,9,7571.5,8988.12,1672.84,1416.62,7315.28
SYN-0030,Year_1,Consultant_D,Client_014,Area_B,written_assessment,Operations,TRUE,FALSE,FALSE,22,6150.94,4389.84,1498.48,-1761.1,2891.36
SYN-0031,Year_1,Consultant_G,Client_002,Area_D,product_license,Consulting,FALSE,TRUE,FALSE,22,3111.06,3436.99,2466.46,325.93,970.53
SYN-0032,Year_1,Consultant_D,Client_018,Area_A,advisory_support,Operations,FALSE,FALSE,FALSE,13,6785.7,5661.43,1463.68,-1124.27,4197.75
SYN-0033,Year_1,Consultant_D,Client_045,Area_A,written_assessment,Consulting,FALSE,FALSE,TRUE,28,4832.94,5177.43,1573.07,344.48,3604.36
SYN-0034,Year_1,Consultant_G,Client_032,Area_B,structured_interview,Consulting,FALSE,FALSE,FALSE,17,6931.81,5083.6,2521.05,-1848.21,2562.56
SYN-0035,Year_1,Consultant_C,Client_040,Area_B,structured_interview,Unlisted,TRUE,TRUE,FALSE,29,8297.1,8311.16,3517.0,14.06,4794.16
SYN-0036,Year_1,Consultant_D,Client_033,Area_A,advisory_support,Unlisted,TRUE,FALSE,FALSE,15,7632.8,8622.01,2752.05,989.2,5869.96
SYN-0037,Year_1,Consultant_F,Client_030,Area_C,written_assessment,Operations,FALSE,TRUE,FALSE,20,5349.83,4943.49,3377.84,-406.34,1565.65
SYN-0038,Year_1,Consultant_G,Client_036,Area_B,structured_interview,Operations,FALSE,FALSE,FALSE,38,7922.83,7446.91,2347.12,-475.92,5099.78
SYN-0039,Year_1,Consultant_G,Client_020,Area_D,written_assessment,Operations,TRUE,FALSE,TRUE,30,6743.09,6536.17,2117.64,-206.91,4418.53
SYN-0040,Year_1,Consultant_H,Client_032,Area_C,assessment_center,Consulting,FALSE,FALSE,TRUE,38,14819.35,14157.21,6768.81,-662.14,7388.4
SYN-0041,Year_1,Consultant_C,Client_048,Area_B,general_support,Operations,TRUE,FALSE,TRUE,26,5379.87,8009.03,1892.67,2629.17,6116.37
SYN-0042,Year_1,Consultant_F,Client_004,Area_D,structured_interview,Consulting,FALSE,FALSE,TRUE,32,8518.63,11173.83,3888.97,2655.2,7284.86
SYN-0043,Year_1,Consultant_B,Client_034,Area_A,structured_interview,Operations,FALSE,TRUE,FALSE,23,6709.55,6706.47,5481.88,-3.08,1224.6
SYN-0044,Year_1,Consultant_D,Client_023,Area_D,written_assessment,Operations,FALSE,TRUE,FALSE,51,6544.28,5564.54,4798.93,-979.73,765.61
SYN-0045,Year_1,Consultant_B,Client_023,Area_C,assessment_center,Consulting,FALSE,FALSE,FALSE,29,12867.75,15234.44,6123.69,2366.69,9110.74
SYN-0046,Year_1,Consultant_G,Client_016,Area_D,written_assessment,Unlisted,FALSE,FALSE,FALSE,15,5677.5,4984.84,2633.88,-692.66,2350.96
SYN-0047,Year_1,Consultant_H,Client_002,Area_D,product_license,Unlisted,TRUE,TRUE,FALSE,20,3729.61,3715.53,3224.14,-14.08,491.39
SYN-0048,Year_1,Consultant_B,Client_032,Area_C,general_support,Operations,TRUE,FALSE,TRUE,6,5410.94,6356.38,2000.88,945.44,4355.5
SYN-0049,Year_1,Consultant_E,Client_016,Area_A,assessment_center,Unlisted,TRUE,FALSE,FALSE,39,13490.06,13834.54,4291.26,344.49,9543.28
SYN-0050,Year_1,Consultant_A,Client_033,Area_B,structured_interview,Consulting,FALSE,TRUE,FALSE,4,6442.02,6650.59,4338.12,208.58,2312.48
SYN-0051,Year_1,Consultant_G,Client_038,Area_B,written_assessment,Operations,FALSE,FALSE,TRUE,48,6478.29,6668.55,2559.73,190.25,4108.82
SYN-0052,Year_1,Consultant_H,Client_026,Area_D,written_assessment,Operations,FALSE,FALSE,FALSE,23,7388.37,9287.88,3066.5,1899.52,6221.39
SYN-0053,Year_1,Consultant_C,Client_036,Area_D,general_support,Operations,FALSE,TRUE,FALSE,13,4320.32,5550.41,3873.65,1230.09,1676.75
SYN-0054,Year_1,Consultant_E,Client_030,Area_C,structured_interview,Consulting,TRUE,FALSE,FALSE,27,7726.63,9863.07,2036.7,2136.43,7826.37
SYN-0055,Year_1,Consultant_D,Client_041,Area_B,advisory_support,Consulting,FALSE,FALSE,FALSE,4,7561.68,8146.02,2345.57,584.34,5800.45
SYN-0056,Year_1,Consultant_E,Client_030,Area_B,written_assessment,Consulting,FALSE,FALSE,FALSE,16,7100.14,6466.0,2690.55,-634.14,3775.45
SYN-0057,Year_1,Consultant_F,Client_039,Area_B,written_assessment,Consulting,FALSE,FALSE,FALSE,34,6123.62,8227.82,1736.82,2104.2,6491.01
SYN-0058,Year_1,Consultant_C,Client_033,Area_B,written_assessment,Unlisted,FALSE,FALSE,TRUE,48,7829.98,7138.3,1984.35,-691.68,5153.95
SYN-0059,Year_1,Consultant_D,Client_005,Area_B,written_assessment,Operations,FALSE,FALSE,FALSE,16,4788.59,3626.99,1256.21,-1161.6,2370.79
SYN-0060,Year_1,Consultant_C,Client_043,Area_A,advisory_support,Operations,TRUE,TRUE,FALSE,7,7683.66,10318.71,4021.89,2635.05,6296.82
SYN-0061,Year_1,Consultant_B,Client_012,Area_B,product_license,Unlisted,TRUE,TRUE,FALSE,7,2549.58,2689.67,2005.77,140.09,683.9
SYN-0062,Year_1,Consultant_G,Client_020,Area_B,assessment_center,Operations,TRUE,FALSE,FALSE,51,13556.39,15584.09,4272.7,2027.7,11311.39
SYN-0063,Year_1,Consultant_A,Client_014,Area_A,product_license,Consulting,TRUE,TRUE,FALSE,26,3304.2,664.08,1326.2,-2640.12,-662.12
SYN-0064,Year_1,Consultant_D,Client_021,Area_D,assessment_center,Consulting,FALSE,TRUE,FALSE,4,12626.39,13376.69,5898.08,750.29,7478.61
SYN-0065,Year_1,Consultant_C,Client_036,Area_D,written_assessment,Operations,FALSE,FALSE,TRUE,21,6492.48,6724.7,3223.66,232.22,3501.04
SYN-0066,Year_1,Consultant_E,Client_007,Area_D,advisory_support,Operations,TRUE,FALSE,FALSE,37,10036.02,11836.16,2070.72,1800.14,9765.44
SYN-0067,Year_1,Consultant_G,Client_045,Area_A,general_support,Unlisted,FALSE,TRUE,FALSE,33,5015.95,3928.73,3729.27,-1087.23,199.46
SYN-0068,Year_1,Consultant_B,Client_032,Area_B,written_assessment,Operations,FALSE,FALSE,FALSE,28,7401.84,6972.22,3180.85,-429.62,3791.37
SYN-0069,Year_1,Consultant_A,Client_024,Area_D,advisory_support,Operations,FALSE,FALSE,FALSE,22,8360.15,9135.29,2624.06,775.14,6511.23
SYN-0070,Year_1,Consultant_E,Client_010,Area_D,assessment_center,Operations,TRUE,TRUE,FALSE,15,11916.76,13868.58,7047.09,1951.82,6821.49
SYN-0071,Year_1,Consultant_B,Client_008,Area_D,written_assessment,Consulting,FALSE,TRUE,FALSE,16,6452.85,5667.5,3869.05,-785.35,1798.45
SYN-0072,Year_1,Consultant_E,Client_028,Area_C,assessment_center,Unlisted,FALSE,TRUE,FALSE,36,13676.38,13264.9,4608.78,-411.48,8656.11
SYN-0073,Year_1,Consultant_D,Client_045,Area_C,written_assessment,Operations,FALSE,TRUE,FALSE,25,5944.91,5851.97,1821.15,-92.95,4030.82
SYN-0074,Year_1,Consultant_D,Client_029,Area_A,structured_interview,Consulting,FALSE,FALSE,FALSE,21,6388.02,5927.03,1862.1,-460.99,4064.93
SYN-0075,Year_1,Consultant_F,Client_025,Area_D,product_license,Operations,TRUE,FALSE,FALSE,22,1940.54,2409.03,514.6,468.49,1894.43
SYN-0076,Year_1,Consultant_A,Client_036,Area_C,written_assessment,Operations,TRUE,TRUE,FALSE,30,6457.13,7108.04,2993.5,650.91,4114.55
SYN-0077,Year_1,Consultant_G,Client_004,Area_A,structured_interview,Consulting,TRUE,FALSE,FALSE,44,9382.02,11110.38,3416.85,1728.35,7693.53
SYN-0078,Year_1,Consultant_C,Client_040,Area_D,assessment_center,Operations,TRUE,FALSE,FALSE,18,12745.5,14213.35,2993.54,1467.85,11219.8
SYN-0079,Year_1,Consultant_A,Client_033,Area_A,written_assessment,Consulting,FALSE,TRUE,FALSE,4,5791.5,3795.3,2738.4,-1996.2,1056.89
SYN-0080,Year_1,Consultant_E,Client_035,Area_B,written_assessment,Consulting,FALSE,FALSE,FALSE,47,7582.47,8746.4,1726.07,1163.93,7020.33
SYN-0081,Year_1,Consultant_G,Client_007,Area_D,written_assessment,Consulting,FALSE,FALSE,FALSE,28,6159.0,7072.29,1427.67,913.28,5644.62
SYN-0082,Year_1,Consultant_D,Client_003,Area_D,written_assessment,Unlisted,FALSE,FALSE,FALSE,26,6599.13,5817.17,2505.33,-781.96,3311.83
SYN-0083,Year_1,Consultant_E,Client_023,Area_D,written_assessment,Consulting,FALSE,FALSE,FALSE,15,4732.34,6125.75,1099.79,1393.4,5025.96
SYN-0084,Year_1,Consultant_H,Client_021,Area_A,assessment_center,Operations,TRUE,FALSE,FALSE,50,13222.13,17137.48,3011.14,3915.35,14126.35
SYN-0085,Year_1,Consultant_C,Client_011,Area_C,assessment_center,Consulting,FALSE,FALSE,FALSE,19,12963.46,16099.52,3603.92,3136.06,12495.6
SYN-0086,Year_1,Consultant_E,Client_036,Area_A,advisory_support,Operations,FALSE,FALSE,FALSE,24,9671.19,11375.57,3667.44,1704.39,7708.14
SYN-0087,Year_1,Consultant_H,Client_022,Area_C,assessment_center,Operations,FALSE,FALSE,TRUE,26,13632.94,13719.95,5965.01,87.01,7754.94
SYN-0088,Year_1,Consultant_G,Client_039,Area_C,written_assessment,Unlisted,FALSE,FALSE,FALSE,37,6951.36,8231.68,1423.77,1280.31,6807.9
SYN-0089,Year_1,Consultant_D,Client_004,Area_B,assessment_center,Unlisted,FALSE,FALSE,FALSE,21,11915.83,13067.53,4084.03,1151.7,8983.51
SYN-0090,Year_1,Consultant_B,Client_007,Area_A,written_assessment,Operations,TRUE,FALSE,TRUE,21,5781.62,7493.12,2724.63,1711.51,4768.49
SYN-0091,Year_1,Consultant_E,Client_038,Area_B,written_assessment,Unlisted,FALSE,FALSE,FALSE,13,6359.73,5684.78,1485.33,-674.95,4199.45
SYN-0092,Year_1,Consultant_C,Client_009,Area_D,written_assessment,Operations,TRUE,FALSE,FALSE,12,4941.46,6168.33,1439.69,1226.87,4728.64
SYN-0093,Year_1,Consultant_A,Client_022,Area_D,product_license,Operations,FALSE,FALSE,FALSE,19,3184.76,2007.78,674.84,-1176.97,1332.94
SYN-0094,Year_1,Consultant_C,Client_026,Area_C,assessment_center,Unlisted,TRUE,TRUE,TRUE,22,12622.6,13195.79,6154.68,573.19,7041.11
SYN-0095,Year_1,Consultant_F,Client_035,Area_A,assessment_center,Unlisted,TRUE,FALSE,FALSE,18,12680.28,13705.37,3870.61,1025.09,9834.76
SYN-0096,Year_1,Consultant_H,Client_028,Area_C,structured_interview,Unlisted,FALSE,FALSE,TRUE,27,8397.85,9423.13,2590.88,1025.27,6832.24
SYN-0097,Year_1,Consultant_D,Client_034,Area_D,assessment_center,Consulting,TRUE,FALSE,FALSE,4,12409.94,14520.03,5267.88,2110.09,9252.15
SYN-0098,Year_1,Consultant_H,Client_041,Area_A,product_license,Operations,TRUE,FALSE,TRUE,6,3170.65,4450.53,1103.3,1279.89,3347.24
SYN-0099,Year_1,Consultant_B,Client_035,Area_B,advisory_support,Operations,TRUE,FALSE,FALSE,27,8368.41,9816.02,3994.83,1447.62,5821.19
SYN-0100,Year_1,Consultant_F,Client_026,Area_B,assessment_center,Operations,FALSE,TRUE,FALSE,33,12927.67,13638.97,5167.73,711.3,8471.23
SYN-0101,Year_1,Consultant_D,Client_001,Area_C,product_license,Operations,TRUE,FALSE,FALSE,32,3068.08,2558.84,1037.82,-509.24,1521.02
SYN-0102,Year_1,Consultant_C,Client_027,Area_B,structured_interview,Consulting,TRUE,FALSE,TRUE,13,5526.98,7115.51,1455.15,1588.53,5660.36
SYN-0103,Year_1,Consultant_D,Client_015,Area_B,written_assessment,Consulting,FALSE,FALSE,FALSE,4,5512.18,6009.44,1209.22,497.27,4800.23
SYN-0104,Year_1,Consultant_F,Client_016,Area_D,written_assessment,Operations,TRUE,FALSE,TRUE,27,5813.77,5933.24,1788.97,119.47,4144.27
SYN-0105,Year_1,Consultant_B,Client_047,Area_D,assessment_center,Consulting,TRUE,FALSE,TRUE,49,14412.65,15241.08,4563.4,828.43,10677.68
SYN-0106,Year_1,Consultant_C,Client_034,Area_B,written_assessment,Consulting,TRUE,FALSE,FALSE,8,6579.84,9242.24,1742.39,2662.4,7499.85
SYN-0107,Year_1,Consultant_C,Client_040,Area_A,written_assessment,Unlisted,TRUE,FALSE,FALSE,30,6246.76,7708.24,2351.83,1461.49,5356.42
SYN-0108,Year_1,Consultant_C,Client_037,Area_B,written_assessment,Operations,FALSE,FALSE,FALSE,21,5031.77,4755.63,2025.57,-276.14,2730.06
SYN-0109,Year_1,Consultant_D,Client_034,Area_B,general_support,Operations,TRUE,FALSE,FALSE,12,3255.22,2360.74,769.02,-894.48,1591.72
SYN-0110,Year_1,Consultant_F,Client_043,Area_D,written_assessment,Operations,FALSE,TRUE,FALSE,26,7022.87,6447.66,5369.99,-575.2,1077.68
SYN-0111,Year_1,Consultant_E,Client_036,Area_B,written_assessment,Operations,TRUE,FALSE,FALSE,17,6206.06,6238.72,1800.29,32.66,4438.42
SYN-0112,Year_1,Consultant_E,Client_020,Area_A,general_support,Operations,TRUE,FALSE,FALSE,13,4655.6,5807.0,1496.46,1151.39,4310.54
SYN-0113,Year_1,Consultant_B,Client_013,Area_D,written_assessment,Unlisted,FALSE,FALSE,FALSE,45,7137.53,6717.37,2864.21,-420.16,3853.16
SYN-0114,Year_1,Consultant_H,Client_029,Area_B,written_assessment,Consulting,FALSE,FALSE,TRUE,45,4492.29,5467.71,2229.09,975.42,3238.62
SYN-0115,Year_1,Consultant_C,Client_041,Area_C,assessment_center,Operations,TRUE,FALSE,FALSE,41,12887.98,15051.47,3810.51,2163.49,11240.96
SYN-0116,Year_1,Consultant_A,Client_036,Area_A,product_license,Operations,TRUE,FALSE,TRUE,26,2867.03,2958.6,1175.82,91.56,1782.78
SYN-0117,Year_1,Consultant_G,Client_023,Area_A,written_assessment,Operations,TRUE,FALSE,FALSE,29,6292.65,7307.76,2410.95,1015.11,4896.81
SYN-0118,Year_1,Consultant_E,Client_021,Area_D,assessment_center,Unlisted,FALSE,FALSE,FALSE,25,12526.72,14048.17,4105.81,1521.45,9942.37
SYN-0119,Year_1,Consultant_A,Client_039,Area_B,written_assessment,Operations,TRUE,FALSE,FALSE,29,5275.16,4084.28,1142.18,-1190.88,2942.1
SYN-0120,Year_1,Consultant_G,Client_037,Area_C,assessment_center,Consulting,TRUE,FALSE,FALSE,20,12499.55,12905.47,4641.83,405.92,8263.64
SYN-0121,Year_1,Consultant_E,Client_001,Area_A,written_assessment,Consulting,FALSE,FALSE,FALSE,21,4977.53,5782.68,1616.51,805.15,4166.18
SYN-0122,Year_1,Consultant_A,Client_001,Area_B,assessment_center,Operations,TRUE,TRUE,FALSE,26,13414.22,15001.11,5521.73,1586.89,9479.38
SYN-0123,Year_1,Consultant_B,Client_012,Area_A,written_assessment,Operations,FALSE,FALSE,FALSE,13,6430.27,7169.18,3080.12,738.91,4089.06
SYN-0124,Year_1,Consultant_A,Client_047,Area_C,written_assessment,Operations,TRUE,TRUE,TRUE,38,5875.74,5144.1,3112.53,-731.64,2031.58
SYN-0125,Year_1,Consultant_C,Client_034,Area_C,product_license,Consulting,TRUE,FALSE,TRUE,6,2445.01,4192.55,852.17,1747.54,3340.38
SYN-0126,Year_1,Consultant_F,Client_033,Area_C,written_assessment,Unlisted,FALSE,FALSE,FALSE,29,5286.8,5506.56,1691.42,219.76,3815.14
SYN-0127,Year_1,Consultant_D,Client_003,Area_D,assessment_center,Operations,FALSE,FALSE,FALSE,5,12186.7,12518.0,3898.85,331.29,8619.15
SYN-0128,Year_1,Consultant_F,Client_028,Area_D,general_support,Operations,FALSE,FALSE,FALSE,31,3764.4,5147.13,994.29,1382.73,4152.83
SYN-0129,Year_1,Consultant_F,Client_012,Area_B,structured_interview,Consulting,FALSE,FALSE,TRUE,6,6652.28,6343.6,1938.14,-308.67,4405.46
SYN-0130,Year_1,Consultant_C,Client_033,Area_B,product_license,Operations,TRUE,FALSE,FALSE,15,2716.79,3293.45,1017.29,576.65,2276.16
SYN-0131,Year_1,Consultant_H,Client_037,Area_B,general_support,Operations,FALSE,FALSE,TRUE,4,3916.21,4070.28,1405.7,154.07,2664.58
SYN-0132,Year_1,Consultant_C,Client_016,Area_A,written_assessment,Unlisted,FALSE,FALSE,FALSE,36,7123.94,7556.74,2247.46,432.8,5309.28
SYN-0133,Year_1,Consultant_B,Client_036,Area_B,assessment_center,Consulting,FALSE,TRUE,FALSE,51,13928.75,15558.77,4393.17,1630.02,11165.6
SYN-0134,Year_1,Consultant_E,Client_025,Area_D,written_assessment,Unlisted,FALSE,FALSE,FALSE,22,6116.67,5439.23,2231.41,-677.44,3207.82
SYN-0135,Year_1,Consultant_B,Client_047,Area_C,assessment_center,Unlisted,FALSE,FALSE,FALSE,33,13313.23,14115.72,5935.9,802.49,8179.83
SYN-0136,Year_1,Consultant_F,Client_010,Area_A,written_assessment,Operations,FALSE,FALSE,TRUE,26,8066.08,7203.67,2177.85,-862.41,5025.82
SYN-0137,Year_1,Consultant_D,Client_020,Area_C,assessment_center,Operations,TRUE,FALSE,FALSE,8,11624.52,12658.68,5414.62,1034.15,7244.05
SYN-0138,Year_1,Consultant_H,Client_004,Area_D,written_assessment,Consulting,FALSE,FALSE,FALSE,40,6380.05,7470.01,2006.88,1089.96,5463.13
SYN-0139,Year_2,Consultant_F,Client_006,Area_A,structured_interview,Consulting,TRUE,FALSE,FALSE,39,7710.61,7272.83,2860.07,-437.79,4412.75
SYN-0140,Year_2,Consultant_C,Client_001,Area_D,advisory_support,Operations,FALSE,FALSE,FALSE,21,8890.4,10291.48,3110.17,1401.08,7181.31
SYN-0141,Year_2,Consultant_C,Client_009,Area_C,advisory_support,Operations,FALSE,FALSE,FALSE,25,7592.99,7228.71,1717.82,-364.28,5510.89
SYN-0142,Year_2,Consultant_A,Client_021,Area_A,assessment_center,Unlisted,FALSE,FALSE,TRUE,6,12133.48,14192.72,4973.31,2059.24,9219.41
SYN-0143,Year_2,Consultant_D,Client_039,Area_B,written_assessment,Operations,TRUE,FALSE,FALSE,17,6334.41,7110.63,2671.59,776.22,4439.04
SYN-0144,Year_2,Consultant_B,Client_029,Area_B,written_assessment,Operations,TRUE,FALSE,TRUE,15,5416.29,6436.66,1902.22,1020.37,4534.44
SYN-0145,Year_2,Consultant_D,Client_033,Area_D,assessment_center,Consulting,TRUE,TRUE,TRUE,31,14391.46,15229.93,7382.45,838.47,7847.48
SYN-0146,Year_2,Consultant_C,Client_035,Area_D,product_license,Consulting,FALSE,FALSE,FALSE,4,2676.08,3830.34,1141.69,1154.26,2688.65
SYN-0147,Year_2,Consultant_H,Client_025,Area_B,written_assessment,Consulting,FALSE,FALSE,FALSE,36,5968.9,7180.33,1881.11,1211.42,5299.21
SYN-0148,Year_2,Consultant_A,Client_043,Area_A,written_assessment,Consulting,TRUE,FALSE,FALSE,6,5947.24,6161.81,2058.24,214.57,4103.57
SYN-0149,Year_2,Consultant_B,Client_040,Area_C,assessment_center,Operations,TRUE,FALSE,TRUE,33,11566.96,13312.77,3119.32,1745.81,10193.46
SYN-0150,Year_2,Consultant_G,Client_010,Area_A,product_license,Unlisted,TRUE,FALSE,TRUE,37,3913.04,3922.86,1883.61,9.83,2039.25
SYN-0151,Year_2,Consultant_F,Client_003,Area_A,structured_interview,Unlisted,TRUE,FALSE,TRUE,37,8237.11,7922.36,2611.68,-314.75,5310.67
SYN-0152,Year_2,Consultant_H,Client_031,Area_B,assessment_center,Consulting,TRUE,TRUE,FALSE,5,13136.04,14291.32,4463.75,1155.28,9827.56
SYN-0153,Year_2,Consultant_G,Client_016,Area_D,structured_interview,Consulting,TRUE,FALSE,TRUE,44,8078.55,8241.87,3347.37,163.31,4894.49
SYN-0154,Year_2,Consultant_A,Client_004,Area_A,assessment_center,Unlisted,TRUE,FALSE,TRUE,4,11877.57,13979.34,5457.71,2101.77,8521.63
SYN-0155,Year_2,Consultant_E,Client_027,Area_C,written_assessment,Operations,TRUE,FALSE,TRUE,38,8930.66,10197.82,4129.72,1267.16,6068.1
SYN-0156,Year_2,Consultant_B,Client_003,Area_D,structured_interview,Unlisted,FALSE,TRUE,TRUE,43,6693.32,6248.97,2490.24,-444.35,3758.73
SYN-0157,Year_2,Consultant_B,Client_004,Area_C,structured_interview,Unlisted,FALSE,FALSE,TRUE,6,7550.11,8387.4,3075.23,837.29,5312.17
SYN-0158,Year_2,Consultant_A,Client_042,Area_B,structured_interview,Operations,FALSE,FALSE,FALSE,4,6781.15,6806.13,1892.3,24.98,4913.82
SYN-0159,Year_2,Consultant_D,Client_010,Area_A,assessment_center,Consulting,FALSE,FALSE,FALSE,7,12555.9,12937.61,3917.21,381.71,9020.39
SYN-0160,Year_2,Consultant_G,Client_030,Area_B,advisory_support,Operations,TRUE,FALSE,FALSE,37,7919.84,9617.05,3688.48,1697.2,5928.57
SYN-0161,Year_2,Consultant_G,Client_004,Area_C,assessment_center,Consulting,FALSE,FALSE,FALSE,7,11816.91,13228.9,5459.56,1411.99,7769.34
SYN-0162,Year_2,Consultant_H,Client_029,Area_A,written_assessment,Consulting,TRUE,TRUE,FALSE,34,6751.0,8205.91,2751.31,1454.91,5454.6
SYN-0163,Year_2,Consultant_H,Client_038,Area_C,structured_interview,Unlisted,FALSE,FALSE,TRUE,27,7669.62,7081.98,1655.79,-587.64,5426.2
SYN-0164,Year_2,Consultant_F,Client_043,Area_B,written_assessment,Operations,FALSE,FALSE,FALSE,8,4805.8,5421.43,1343.66,615.63,4077.77
SYN-0165,Year_2,Consultant_D,Client_041,Area_D,written_assessment,Operations,TRUE,FALSE,FALSE,19,5219.21,7093.55,1302.55,1874.34,5791.01
SYN-0166,Year_2,Consultant_B,Client_010,Area_C,written_assessment,Consulting,FALSE,FALSE,FALSE,15,4819.89,5545.01,1342.01,725.12,4203.0
SYN-0167,Year_2,Consultant_C,Client_023,Area_B,written_assessment,Consulting,FALSE,FALSE,TRUE,22,6498.39,8756.05,2498.33,2257.66,6257.71
SYN-0168,Year_2,Consultant_C,Client_016,Area_B,assessment_center,Consulting,TRUE,FALSE,FALSE,11,10937.45,13792.47,4783.11,2855.02,9009.36
SYN-0169,Year_2,Consultant_B,Client_014,Area_D,written_assessment,Unlisted,FALSE,FALSE,FALSE,4,5386.6,4963.47,1695.71,-423.13,3267.77
SYN-0170,Year_2,Consultant_B,Client_012,Area_C,structured_interview,Operations,TRUE,FALSE,FALSE,49,8617.19,10840.32,1732.06,2223.13,9108.26
