posting_id,job_title,salary_estimate,company_rating,company_size,founded_year,ownership_type,industry,sector,revenue_band,hourly_flag,employer_provided_flag,lower_salary_k,upper_salary_k,avg_salary_k,job_state,company_age,python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,power_bi,flink,mongo,google_analytics,role_family,seniority,degree_required
29,Clinical Data Scientist,$63K-$105K (Glassdoor est.),4.0,10000+ ,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,63,105,84.0,CT,172,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
30,Data Scientist,$80K-$90K (Glassdoor est.),4.8,501 - 1000 ,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),0,0,80,90,85.0,FL,11,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
31,Data Scientist,$56K-$97K (Glassdoor est.),3.8,1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),0,0,56,97,76.5,WA,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
32,Data Scientist,$72K-$120K (Glassdoor est.),3.6,1001 - 5000 ,1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),0,0,72,120,96.0,MI,24,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
33,Data Scientist / Machine Learning Expert,$86K-$143K (Glassdoor est.),3.8,10000+ ,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,86,143,114.5,MA,25,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,data scientist,na,na
34,Data Scientist,$93K-$149K (Glassdoor est.),3.8,5001 - 10000 ,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),0,0,93,149,121.0,CA,25,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,data scientist,na,M
35,Data Scientist,$85K-$140K (Glassdoor est.),4.7,201 - 500 ,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,0,0,85,140,112.5,MA,47,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
36,Web Data Analyst,$77K-$135K (Glassdoor est.),4.2,201 - 500 ,2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,0,0,77,135,106.0,CA,13,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,analyst,na,na
37,Data Scientist,$82K-$132K (Glassdoor est.),3.5,1001 - 5000 ,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),0,0,82,132,107.0,CA,52,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,data scientist,na,M
38,Data Scientist,$83K-$137K (Glassdoor est.),4.7,201 - 500 ,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),0,0,83,137,110.0,MA,11,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,data scientist,na,P
39,Senior Data Scientist,$115K-$180K (Glassdoor est.),3.5,5001 - 10000 ,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),0,0,115,180,147.5,CA,151,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M
40,Data Engineer,$74K-$138K (Glassdoor est.),3.5,201 - 500 ,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),0,0,74,138,106.0,NY,36,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data engineer,na,M
41,Data Analyst,$64K-$112K (Glassdoor est.),4.2,201 - 500 ,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),0,0,64,112,88.0,CA,13,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,analyst,na,na
43,Data Engineer,$68K-$129K (Glassdoor est.),3.6,1 - 50 ,-1,Company - Private,-1,-1,Less than $1 million (USD),0,0,68,129,98.5,MA,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data engineer,na,na
44,Data Scientist - Algorithms & Inference,$110K-$175K (Glassdoor est.),4.2,51 - 200 ,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,110,175,142.5,CA,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
45,Scientist,$52K-$113K (Glassdoor est.),3.4,5001 - 10000 ,2015,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),0,0,52,113,82.5,NJ,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,M
46,Senior Data Scientist,$110K-$150K(Employer est.),4.3,1001 - 5000 ,1993,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),0,0,110,150,130.0,IL,28,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,data scientist,sr,M
48,Data Scientist,Employer Provided Salary:$150K-$160K,5.0,unknown,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,1,150,160,155.0,DC,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
49,Lead Data Scientist,$158K-$211K (Glassdoor est.),3.7,10000+ ,1958,Company - Public,IT Services,Information Technology,$10+ billion (USD),0,0,158,211,184.5,WA,63,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,data scientist,sr,na
50,Associate Data Analyst,$20K-$39K (Glassdoor est.),3.1,5001 - 10000 ,1986,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),0,0,20,39,29.5,CO,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,analyst,na,M
51,Spectral Scientist/Engineer,$56K-$117K (Glassdoor est.),4.7,501 - 1000 ,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),0,0,56,117,86.5,OH,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,M
52,College Hire - Data Scientist - Open to December 2019 Graduates,$63K-$99K (Glassdoor est.),3.7,10000+ ,1925,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),0,0,63,99,81.0,IL,96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na
54,Data Scientist,$68K-$114K (Glassdoor est.),3.8,501 - 1000 ,1984,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,0,0,68,114,91.0,FL,37,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,data scientist,na,na
55,"Data Scientist, Office of Data Science",$86K-$143K (Glassdoor est.),3.3,10000+ ,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),0,0,86,143,114.5,MA,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
56,Data Science Analyst,$41K-$95K (Glassdoor est.),4.6,1001 - 5000 ,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),0,0,41,95,68.0,AL,19,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na
57,Data Scientist,$86K-$144K (Glassdoor est.),3.7,10000+ ,1863,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),0,0,86,144,115.0,NY,158,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
58,Data Scientist,$80K-$139K (Glassdoor est.),3.7,10000+ ,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),0,0,80,139,109.5,CA,82,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na
59,Data Scientist,$56K-$95K (Glassdoor est.),3.5,5001 - 10000 ,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),0,0,56,95,75.5,NM,151,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
60,Data Scientist,$120K-$189K (Glassdoor est.),4.1,501 - 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,120,189,154.5,CA,9,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,data scientist,na,P
61,Data Scientist,$111K-$176K (Glassdoor est.),4.7,51 - 200 ,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,0,0,111,176,143.5,MO,5,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,data scientist,na,na
62,Data Scientist,$54K-$93K (Glassdoor est.),4.1,501 - 1000 ,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,0,0,54,93,73.5,MD,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
63,Data Scientist,$71K-$119K (Glassdoor est.),3.4,201 - 500 ,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),0,0,71,119,95.0,TX,21,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,data scientist,na,na
65,Senior Data Scientist,$82K-$132K (Glassdoor est.),4.4,201 - 500 ,1885,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,Unknown / Non-Applicable,0,0,82,132,107.0,OH,136,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,data scientist,sr,M
66,Data Scientist,$84K-$146K (Glassdoor est.),4.3,201 - 500 ,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),0,0,84,146,115.0,NY,10,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,data scientist,na,na
67,Senior Risk Data Scientist,$107K-$172K (Glassdoor est.),3.8,501 - 1000 ,2006,Company - Public,Financial Transaction Processing,Finance,$50 to $100 million (USD),0,0,107,172,139.5,CA,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M
68,Data Scientist in Artificial Intelligence Early Career,$49K-$85K (Glassdoor est.),3.8,1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),0,0,49,85,67.0,WA,56,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,data scientist,na,M
70,Data Scientist,$61K-$109K (Glassdoor est.),3.8,10000+ ,1948,Company - Public,Sporting Goods Stores,Retail,$5 to $10 billion (USD),0,0,61,109,85.0,PA,73,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,data scientist,na,M
72,Data Scientist,$88K-$148K (Glassdoor est.),2.8,51 - 200 ,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),0,0,88,148,118.0,MA,15,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,P
73,Data Scientist,$60K-$99K (Glassdoor est.),4.7,51 - 200 ,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),0,0,60,99,79.5,GA,18,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,data scientist,na,na
75,Data Scientist - Research,$41K-$72K (Glassdoor est.),3.1,201 - 500 ,1999,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),0,0,41,72,56.5,MA,22,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na
76,Data Scientist,$96K-$161K (Glassdoor est.),3.2,1 - 50 ,-1,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),0,0,96,161,128.5,PA,-1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,na
77,R&D Data Analysis Scientist,$65K-$130K (Glassdoor est.),4.0,10000+ ,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,0,0,65,130,97.5,WA,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,M
78,Analytics Consultant,$52K-$81K (Glassdoor est.),4.4,1 - 50 ,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,52,81,66.5,IN,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,data analitics,na,na
79,"Director, Data Science",$139K-$220K (Glassdoor est.),3.6,10000+ ,1927,Company - Public,Wholesale,Business Services,$10+ billion (USD),0,0,139,220,179.5,IL,94,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
80,Scientist,$50K-$102K (Glassdoor est.),2.7,501 - 1000 ,1978,Subsidiary or Business Segment,Research & Development,Business Services,$50 to $100 million (USD),0,0,50,102,76.0,MO,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,P
81,Data Scientist SR,$85K-$139K (Glassdoor est.),3.9,501 - 1000 ,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),0,0,85,139,112.0,VA,11,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,sr,M
82,Data Scientist,$74K-$122K (Glassdoor est.),3.1,1001 - 5000 ,1860,Company - Private,Mining,Mining & Metals,$1 to $2 billion (USD),0,0,74,122,98.0,PA,161,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,data scientist,na,M
83,R&D Sr Data Scientist,$99K-$157K (Glassdoor est.),4.0,10000+ ,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,0,0,99,157,128.0,WA,82,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,data scientist,sr,M
84,Customer Data Scientist/Sales Engineer (Bay,$79K-$222K (Glassdoor est.),4.3,201 - 500 ,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,79,222,150.5,CA,10,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,data scientist,na,P
85,Research Scientist,$57K-$118K (Glassdoor est.),1.9,51 - 200 ,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),0,0,57,118,87.5,MA,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,M
86,Data Scientist,$83K-$137K (Glassdoor est.),3.3,1001 - 5000 ,2017,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),0,0,83,137,110.0,VA,4,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,data scientist,na,na
87,Data Scientist,$86K-$141K (Glassdoor est.),4.4,10000+ ,1995,Company - Private,IT Services,Information Technology,$500 million to $1 billion (USD),0,0,86,141,113.5,CA,26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
88,Data Scientist,$94K-$154K (Glassdoor est.),3.9,51 - 200 ,2016,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),0,0,94,154,124.0,CA,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
89,Jr. Business Data Analyst,$37K-$76K (Glassdoor est.),4.7,201 - 500 ,1997,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),0,0,37,76,56.5,PA,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,analyst,jr,na
90,Data Scientist,$100K-$160K (Glassdoor est.),4.5,5001 - 10000 ,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),0,0,100,160,130.0,MD,79,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
91,Data Analyst,$55K-$100K (Glassdoor est.),4.3,51 - 200 ,2008,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),0,0,55,100,77.5,IL,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,analyst,na,na
92,Data Engineer,$60K-$114K (Glassdoor est.),4.0,201 - 500 ,2002,Company - Private,Consulting,Business Services,$50 to $100 million (USD),0,0,60,114,87.0,VA,19,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,data engineer,na,na
93,Data Analyst,$39K-$68K (Glassdoor est.),4.4,501 - 1000 ,1948,Company - Private,Wholesale,Business Services,$100 to $500 million (USD),0,0,39,68,53.5,WA,73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,analyst,na,na
94,Staff Data Scientist - Technology,$106K-$172K (Glassdoor est.),3.2,10000+ ,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),0,0,106,172,139.0,TX,59,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,M
95,Data Scientist,$86K-$142K (Glassdoor est.),3.8,201 - 500 ,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),0,0,86,142,114.0,CA,16,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,data scientist,na,M
96,Data Scientist,$64K-$107K (Glassdoor est.),4.2,501 - 1000 ,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),0,0,64,107,85.5,FL,13,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,na
97,Data Management Specialist,$31K-$65K (Glassdoor est.),4.5,51 - 200 ,1996,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),0,0,31,65,48.0,AL,25,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,na,na,na
99,E-Commerce Data Analyst,$34K-$62K (Glassdoor est.),3.5,51 - 200 ,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,34,62,48.0,LA,22,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,analyst,na,na
101,Sr. Scientist II,$117K-$231K (Glassdoor est.),3.5,201 - 500 ,1990,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),0,0,117,231,174.0,CA,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,sr,M
102,Insurance Data Scientist,$64K-$106K (Glassdoor est.),3.9,5001 - 10000 ,1968,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),0,0,64,106,85.0,GA,53,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
104,Data Modeler,$79K-$134K (Glassdoor est.),4.7,51 - 200 ,2003,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),0,0,79,134,106.5,MD,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data modeler,na,na
105,Data Analyst / Scientist,$52K-$93K (Glassdoor est.),4.2,1001 - 5000 ,1988,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),0,0,52,93,72.5,MD,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,analyst,na,na
106,Scientist,$55K-$116K (Glassdoor est.),3.4,10000+ ,1996,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),0,0,55,116,85.5,MD,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,M
107,Data Scientist,$72K-$123K (Glassdoor est.),3.2,5001 - 10000 ,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),0,0,72,123,97.5,VA,63,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,data scientist,na,na
108,Data Scientist,$74K-$124K (Glassdoor est.),3.9,501 - 1000 ,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),0,0,74,124,99.0,VA,11,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na
109,Data Analyst,$40K-$73K (Glassdoor est.),3.1,1001 - 5000 ,2001,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),0,0,40,73,56.5,WI,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,analyst,na,na
