affairs,age,yearsmarried,religiousness,occupation,rating
5,42.0,13.3,4.0,7.0,4.0
0,30.0,9.0,5.0,7.0,3.0
1,29.0,7.0,5.0,2.0,1.0
1,22.0,10.3,5.0,3.0,1.0
0,33.0,7.5,3.0,1.0,5.0
0,33.0,10.6,2.0,2.0,5.0
1,36.0,8.2,4.0,2.0,2.0
3,40.0,11.3,5.0,3.0,2.0
0,17.0,14.0,4.0,7.0,3.0
2,26.0,9.2,3.0,2.0,5.0
1,30.0,2.2,3.0,3.0,1.0
0,47.0,11.2,2.0,1.0,3.0
2,39.0,9.7,3.0,3.0,3.0
3,29.0,6.1,3.0,7.0,3.0
0,39.0,11.9,2.0,1.0,3.0
0,23.0,10.7,3.0,5.0,2.0
0,37.0,13.4,3.0,5.0,2.0
1,40.0,12.4,2.0,6.0,3.0
0,31.0,9.4,4.0,3.0,4.0
0,34.0,8.1,2.0,4.0,3.0
3,31.0,7.2,4.0,4.0,1.0
2,28.0,15.9,4.0,2.0,2.0
0,34.0,10.6,4.0,2.0,4.0
4,30.0,9.2,4.0,5.0,1.0
0,24.0,1.9,4.0,2.0,4.0
0,30.0,17.3,5.0,6.0,5.0
6,28.0,14.6,2.0,3.0,1.0
0,35.0,13.6,5.0,7.0,2.0
1,36.0,10.2,2.0,5.0,5.0
0,19.0,3.8,4.0,4.0,5.0
0,40.0,12.8,2.0,2.0,3.0
6,42.0,13.6,2.0,5.0,1.0
0,43.0,7.7,4.0,7.0,1.0
0,34.0,4.7,1.0,1.0,1.0
1,32.0,12.6,1.0,7.0,3.0
3,40.0,8.1,1.0,4.0,3.0
0,36.0,5.9,5.0,7.0,5.0
1,40.0,6.0,1.0,5.0,1.0
6,27.0,9.2,2.0,6.0,1.0
2,39.0,6.2,3.0,6.0,1.0
2,35.0,0.5,2.0,3.0,2.0
2,28.0,1.0,4.0,3.0,2.0
0,58.0,1.5,4.0,4.0,2.0
0,31.0,15.1,3.0,3.0,5.0
4,32.0,17.8,2.0,6.0,2.0
1,26.0,4.9,5.0,4.0,1.0
0,34.0,4.8,2.0,3.0,5.0
0,20.0,0.5,4.0,1.0,2.0
1,37.0,17.2,5.0,7.0,4.0
2,38.0,17.7,3.0,6.0,5.0
1,40.0,7.5,2.0,3.0,1.0
3,45.0,8.0,1.0,5.0,1.0
0,32.0,9.2,4.0,7.0,3.0
1,34.0,8.3,5.0,5.0,4.0
4,27.0,4.0,1.0,2.0,1.0
3,27.0,14.7,2.0,3.0,4.0
2,33.0,8.9,5.0,3.0,1.0
0,29.0,12.7,2.0,6.0,2.0
0,22.0,9.1,1.0,4.0,3.0
1,19.0,13.8,1.0,4.0,3.0
0,26.0,10.7,5.0,7.0,1.0
0,20.0,3.1,3.0,1.0,3.0
0,31.0,11.9,2.0,7.0,5.0
0,40.0,7.3,4.0,2.0,2.0
0,27.0,1.1,5.0,7.0,3.0
0,34.0,4.6,2.0,3.0,5.0
0,39.0,6.8,2.0,7.0,5.0
0,22.0,2.6,3.0,3.0,4.0
0,33.0,3.7,2.0,1.0,3.0
3,37.0,6.6,2.0,5.0,2.0
2,28.0,3.3,5.0,5.0,2.0
0,21.0,2.5,3.0,2.0,4.0
2,50.0,6.6,1.0,4.0,2.0
1,21.0,17.0,1.0,6.0,4.0
1,19.0,20.0,2.0,3.0,4.0
1,35.0,6.6,5.0,3.0,2.0
1,27.0,8.4,1.0,3.0,3.0
2,32.0,4.3,4.0,7.0,5.0
0,31.0,15.5,5.0,1.0,3.0
6,26.0,10.3,3.0,6.0,1.0
0,32.0,17.3,3.0,4.0,2.0
6,37.0,1.0,2.0,6.0,1.0
1,49.0,4.9,4.0,7.0,2.0
1,28.0,4.4,1.0,3.0,5.0
0,34.0,6.4,1.0,7.0,1.0
1,42.0,5.1,3.0,7.0,4.0
1,20.0,10.0,2.0,4.0,2.0
0,29.0,12.9,1.0,7.0,1.0
0,26.0,2.7,2.0,6.0,4.0
4,29.0,12.5,3.0,6.0,5.0
0,19.0,12.5,5.0,1.0,1.0
0,46.0,3.4,4.0,6.0,4.0
0,38.0,9.3,1.0,5.0,5.0
0,27.0,5.2,3.0,6.0,4.0
0,39.0,4.5,1.0,5.0,5.0
0,22.0,9.3,3.0,5.0,4.0
5,17.0,4.7,4.0,3.0,2.0
0,18.0,0.7,1.0,4.0,4.0
0,36.0,11.9,5.0,2.0,4.0
1,34.0,4.8,5.0,4.0,4.0
2,25.0,0.5,2.0,2.0,4.0
4,57.0,0.5,1.0,6.0,1.0
2,37.0,7.8,3.0,7.0,4.0
0,42.0,0.7,2.0,5.0,1.0
0,34.0,9.6,5.0,3.0,3.0
0,22.0,3.7,5.0,1.0,1.0
4,41.0,15.4,5.0,6.0,1.0
1,40.0,1.7,1.0,6.0,3.0
0,21.0,5.2,2.0,2.0,3.0
3,22.0,3.6,5.0,7.0,1.0
0,30.0,6.5,1.0,1.0,3.0
1,43.0,11.7,5.0,1.0,4.0
0,33.0,8.6,4.0,1.0,1.0
0,29.0,3.5,1.0,4.0,4.0
2,22.0,8.1,5.0,3.0,3.0
0,29.0,8.3,3.0,1.0,4.0
2,39.0,9.0,5.0,5.0,3.0
1,38.0,11.1,3.0,2.0,4.0
5,29.0,6.4,4.0,6.0,2.0
0,27.0,8.6,5.0,3.0,1.0
0,30.0,14.4,3.0,3.0,4.0
0,33.0,8.8,2.0,1.0,4.0
0,31.0,10.5,5.0,7.0,1.0
0,37.0,11.9,2.0,5.0,2.0
0,34.0,6.8,1.0,4.0,4.0
2,29.0,11.7,2.0,2.0,4.0
0,22.0,0.5,4.0,4.0,4.0
0,18.0,7.4,4.0,7.0,5.0
2,25.0,16.7,5.0,3.0,2.0
0,22.0,5.6,3.0,3.0,2.0
1,31.0,1.0,1.0,6.0,1.0
3,32.0,11.4,5.0,2.0,1.0
2,30.0,7.8,2.0,7.0,4.0
0,17.0,14.7,2.0,1.0,2.0
1,39.0,2.9,4.0,7.0,4.0
2,32.0,0.5,3.0,1.0,3.0
0,30.0,12.3,4.0,7.0,2.0
1,18.0,10.4,3.0,6.0,3.0
0,30.0,7.9,1.0,1.0,3.0
0,24.0,6.6,1.0,7.0,5.0
4,33.0,11.5,2.0,4.0,2.0
1,31.0,16.1,4.0,6.0,3.0
0,36.0,3.5,1.0,7.0,5.0
5,33.0,9.4,2.0,2.0,3.0
0,43.0,6.2,3.0,3.0,5.0
5,30.0,9.9,5.0,6.0,2.0
1,29.0,7.0,1.0,6.0,3.0
0,27.0,9.9,5.0,5.0,5.0
0,43.0,12.6,3.0,2.0,5.0
3,17.0,0.5,3.0,1.0,3.0
0,37.0,4.0,4.0,1.0,4.0
4,32.0,6.3,5.0,4.0,1.0
0,36.0,3.1,5.0,5.0,1.0
0,32.0,8.6,2.0,4.0,4.0
0,35.0,9.0,5.0,1.0,5.0
2,26.0,16.6,3.0,3.0,4.0
0,31.0,16.7,4.0,7.0,5.0
1,36.0,8.3,1.0,6.0,2.0
4,44.0,14.1,2.0,7.0,2.0
1,39.0,9.6,3.0,4.0,1.0
0,53.0,8.8,5.0,1.0,4.0
0,30.0,1.3,4.0,7.0,3.0
0,17.0,2.2,1.0,5.0,5.0
2,31.0,12.0,2.0,3.0,4.0
0,41.0,11.3,4.0,3.0,4.0
0,38.0,0.5,2.0,2.0,4.0
0,41.0,6.4,5.0,3.0,5.0
0,42.0,9.9,4.0,3.0,2.0
5,32.0,11.6,4.0,4.0,1.0
2,41.0,7.7,3.0,6.0,4.0
2,34.0,5.9,4.0,1.0,2.0
2,40.0,16.0,3.0,7.0,4.0
3,31.0,1.2,3.0,1.0,2.0
0,26.0,7.9,4.0,2.0,3.0
0,40.0,2.2,4.0,4.0,3.0
0,21.0,8.4,3.0,1.0,2.0
1,21.0,7.3,3.0,3.0,4.0
1,22.0,9.6,1.0,2.0,4.0
0,51.0,9.3,5.0,5.0,1.0
1,29.0,1.3,3.0,7.0,4.0
3,33.0,7.7,2.0,5.0,2.0
2,34.0,9.0,2.0,7.0,1.0
0,32.0,5.9,3.0,1.0,5.0
0,31.0,9.3,3.0,2.0,4.0
0,24.0,6.7,5.0,6.0,1.0
3,27.0,10.6,4.0,3.0,1.0
0,26.0,3.4,2.0,1.0,4.0
2,34.0,17.8,5.0,4.0,2.0
0,29.0,13.8,5.0,6.0,5.0
0,20.0,5.1,4.0,4.0,5.0
3,32.0,9.2,1.0,5.0,3.0
0,39.0,7.8,2.0,4.0,5.0
0,32.0,13.3,4.0,4.0,4.0
3,18.0,9.1,1.0,6.0,1.0
1,22.0,7.6,1.0,3.0,2.0
1,30.0,13.9,4.0,1.0,5.0
0,17.0,0.5,3.0,3.0,2.0
0,30.0,15.2,2.0,1.0,5.0
5,39.0,5.8,1.0,4.0,1.0
1,34.0,3.6,4.0,2.0,4.0
3,41.0,16.2,1.0,1.0,2.0
0,36.0,1.7,2.0,4.0,3.0
0,31.0,16.5,3.0,4.0,5.0
4,28.0,13.7,2.0,2.0,5.0
6,39.0,10.3,3.0,5.0,2.0
0,30.0,0.5,4.0,7.0,5.0
0,34.0,8.7,5.0,4.0,5.0
0,30.0,10.6,1.0,5.0,3.0
0,34.0,7.3,3.0,5.0,5.0
0,17.0,5.0,1.0,3.0,4.0
1,34.0,8.8,5.0,2.0,2.0
0,20.0,15.0,4.0,4.0,5.0
0,31.0,12.9,5.0,4.0,5.0
2,24.0,11.8,5.0,7.0,1.0
0,45.0,20.7,3.0,5.0,3.0
0,25.0,0.5,5.0,4.0,4.0
3,17.0,5.5,1.0,4.0,5.0
0,23.0,11.1,3.0,3.0,4.0
0,48.0,6.7,4.0,7.0,2.0
0,44.0,7.6,5.0,7.0,3.0
0,27.0,4.6,3.0,2.0,1.0
0,51.0,11.1,3.0,6.0,1.0
0,23.0,0.5,5.0,5.0,5.0
0,29.0,19.7,1.0,5.0,5.0
0,21.0,19.4,2.0,1.0,4.0
3,36.0,13.1,3.0,1.0,3.0
0,38.0,10.4,1.0,2.0,4.0
0,21.0,4.8,1.0,7.0,5.0
4,31.0,3.7,3.0,7.0,2.0
5,17.0,7.8,2.0,4.0,2.0
0,33.0,10.1,3.0,1.0,4.0
0,38.0,4.9,5.0,2.0,4.0
0,24.0,10.7,1.0,1.0,3.0
0,22.0,10.3,2.0,5.0,5.0
0,35.0,11.1,3.0,1.0,5.0
0,30.0,8.8,1.0,4.0,5.0
5,17.0,8.3,2.0,6.0,1.0
0,17.0,6.4,5.0,4.0,4.0
0,41.0,15.3,2.0,4.0,3.0
1,37.0,8.0,5.0,3.0,4.0
0,37.0,5.9,2.0,7.0,3.0
0,17.0,13.1,5.0,7.0,5.0
1,38.0,12.3,3.0,1.0,1.0
1,26.0,10.0,3.0,4.0,4.0
6,29.0,5.4,1.0,2.0,3.0
4,23.0,14.1,3.0,2.0,2.0
2,43.0,2.7,3.0,6.0,3.0
0,37.0,7.0,2.0,3.0,1.0
0,26.0,10.4,5.0,3.0,4.0
6,36.0,3.1,2.0,6.0,1.0
0,30.0,12.6,1.0,1.0,3.0
0,40.0,15.5,5.0,2.0,5.0
0,20.0,10.7,2.0,7.0,1.0
0,25.0,7.7,2.0,2.0,4.0
3,39.0,5.0,3.0,5.0,4.0
0,23.0,3.9,2.0,3.0,3.0
0,33.0,8.7,3.0,4.0,3.0
0,28.0,0.5,3.0,4.0,5.0
0,26.0,12.0,5.0,6.0,5.0
0,25.0,4.3,1.0,5.0,5.0
0,17.0,5.7,3.0,2.0,3.0
2,29.0,5.8,2.0,4.0,4.0
0,22.0,6.1,4.0,4.0,4.0
0,41.0,0.5,5.0,2.0,4.0
1,32.0,11.8,4.0,1.0,2.0
6,30.0,3.5,2.0,1.0,1.0
3,39.0,1.3,2.0,5.0,2.0
0,30.0,0.5,5.0,5.0,1.0
2,30.0,6.1,2.0,5.0,1.0
0,42.0,6.8,4.0,3.0,3.0
3,31.0,8.5,4.0,5.0,2.0
0,36.0,13.5,1.0,4.0,5.0
0,32.0,5.0,3.0,4.0,3.0
6,26.0,3.6,1.0,4.0,1.0
0,29.0,3.6,2.0,2.0,5.0
0,32.0,8.0,1.0,1.0,3.0
0,31.0,11.9,4.0,1.0,3.0
0,41.0,11.2,3.0,5.0,3.0
0,36.0,2.2,3.0,2.0,4.0
0,34.0,0.5,2.0,5.0,5.0
3,56.0,13.6,4.0,4.0,2.0
3,43.0,15.1,4.0,5.0,2.0
0,30.0,4.9,4.0,4.0,5.0
0,42.0,4.7,1.0,3.0,4.0
2,36.0,10.9,2.0,5.0,5.0
0,21.0,5.8,2.0,6.0,3.0
1,27.0,5.2,1.0,3.0,1.0
2,28.0,4.2,3.0,5.0,1.0
2,24.0,10.1,2.0,3.0,3.0
5,25.0,7.3,4.0,5.0,1.0
0,38.0,3.2,5.0,1.0,5.0
0,35.0,13.4,4.0,7.0,5.0
1,49.0,15.5,1.0,5.0,5.0
1,25.0,9.4,3.0,1.0,3.0
6,33.0,7.8,4.0,5.0,1.0
0,34.0,0.5,4.0,3.0,2.0
0,28.0,11.0,4.0,1.0,5.0
0,47.0,5.7,2.0,3.0,3.0
1,21.0,6.0,1.0,1.0,2.0
0,25.0,12.0,4.0,6.0,4.0
2,28.0,0.5,3.0,5.0,2.0
0,34.0,0.5,2.0,6.0,5.0
1,32.0,4.5,4.0,5.0,2.0
0,31.0,2.3,3.0,1.0,5.0
0,24.0,15.6,5.0,3.0,4.0
3,17.0,16.3,3.0,1.0,4.0
1,28.0,6.1,2.0,6.0,4.0
0,37.0,9.0,4.0,5.0,4.0
1,21.0,8.1,3.0,1.0,2.0
6,29.0,17.8,2.0,6.0,1.0
0,35.0,6.9,3.0,2.0,5.0
0,38.0,1.9,3.0,5.0,4.0
0,34.0,5.6,1.0,2.0,3.0
1,30.0,5.2,3.0,7.0,2.0
0,24.0,13.9,1.0,5.0,4.0
3,46.0,18.0,1.0,6.0,5.0
0,17.0,9.6,1.0,2.0,5.0
5,38.0,11.2,3.0,3.0,1.0
6,44.0,3.0,1.0,4.0,1.0
1,38.0,13.6,5.0,2.0,3.0
0,38.0,4.1,1.0,6.0,5.0
1,41.0,13.9,1.0,5.0,3.0
0,36.0,0.5,5.0,2.0,2.0
0,28.0,21.5,5.0,1.0,5.0
0,25.0,13.1,5.0,2.0,2.0
2,47.0,7.4,3.0,6.0,2.0
0,26.0,1.0,5.0,2.0,5.0
0,30.0,0.5,5.0,7.0,3.0
1,29.0,16.5,4.0,3.0,1.0
5,31.0,9.5,3.0,2.0,1.0
0,38.0,16.7,4.0,1.0,3.0
1,32.0,6.7,3.0,6.0,2.0
1,33.0,12.6,4.0,6.0,4.0
0,36.0,4.7,4.0,6.0,3.0
0,25.0,5.7,2.0,3.0,2.0
0,24.0,7.8,1.0,5.0,3.0
0,31.0,6.7,4.0,6.0,1.0
0,38.0,3.8,4.0,6.0,4.0
0,46.0,11.9,4.0,7.0,4.0
3,37.0,15.1,2.0,5.0,2.0
1,22.0,4.8,3.0,6.0,2.0
0,31.0,3.2,3.0,1.0,2.0
0,35.0,8.1,1.0,2.0,1.0
3,42.0,4.3,1.0,1.0,4.0
2,33.0,9.4,1.0,1.0,1.0
3,41.0,8.8,1.0,4.0,3.0
0,31.0,9.1,1.0,7.0,5.0
2,21.0,8.4,5.0,2.0,4.0
2,24.0,6.8,2.0,4.0,2.0
0,19.0,7.0,3.0,6.0,4.0
0,17.0,9.7,2.0,3.0,3.0
3,25.0,4.2,4.0,4.0,1.0
0,32.0,5.9,2.0,2.0,3.0
6,33.0,13.1,1.0,1.0,1.0
6,31.0,7.5,2.0,4.0,1.0
1,17.0,0.5,4.0,7.0,3.0
1,35.0,4.0,4.0,5.0,1.0
0,33.0,8.8,5.0,1.0,4.0
0,29.0,0.5,5.0,6.0,3.0
0,22.0,3.9,2.0,4.0,2.0
0,41.0,4.0,2.0,1.0,2.0
0,23.0,11.1,5.0,6.0,4.0
4,31.0,9.0,1.0,6.0,2.0
0,35.0,11.5,4.0,7.0,5.0
0,37.0,0.8,4.0,2.0,2.0
0,60.0,3.5,2.0,2.0,5.0
1,45.0,3.6,2.0,7.0,4.0
0,29.0,4.2,4.0,2.0,3.0
0,38.0,0.5,3.0,5.0,4.0
2,36.0,14.1,2.0,6.0,1.0
1,52.0,9.8,3.0,4.0,2.0
0,25.0,16.6,1.0,1.0,4.0
0,45.0,6.0,1.0,3.0,3.0
2,40.0,0.5,1.0,1.0,2.0
0,41.0,0.5,4.0,5.0,5.0
0,36.0,11.1,2.0,7.0,5.0
0,35.0,9.1,2.0,5.0,5.0
0,31.0,12.2,3.0,6.0,5.0
0,35.0,1.6,5.0,4.0,3.0
0,29.0,6.7,5.0,7.0,4.0
0,41.0,11.6,2.0,3.0,5.0
0,30.0,0.5,3.0,4.0,5.0
0,32.0,7.2,4.0,5.0,5.0
0,28.0,18.5,1.0,4.0,4.0
0,29.0,10.5,2.0,2.0,2.0
1,22.0,5.8,2.0,1.0,3.0
0,39.0,10.9,4.0,5.0,3.0
5,38.0,15.2,5.0,5.0,1.0
1,43.0,4.2,4.0,5.0,3.0
0,27.0,7.5,3.0,7.0,4.0
1,30.0,8.0,4.0,7.0,1.0
2,36.0,5.8,1.0,1.0,1.0
0,35.0,12.9,3.0,4.0,3.0
2,36.0,8.7,2.0,5.0,1.0
1,34.0,9.6,4.0,5.0,1.0
0,27.0,8.8,2.0,6.0,2.0
1,25.0,4.0,2.0,3.0,1.0
0,29.0,11.0,5.0,6.0,1.0
0,42.0,10.4,4.0,6.0,2.0
0,31.0,9.5,5.0,1.0,3.0
0,32.0,8.2,4.0,7.0,2.0
3,40.0,12.3,2.0,2.0,2.0
0,37.0,6.5,1.0,6.0,4.0
0,30.0,15.4,3.0,6.0,4.0
1,36.0,2.2,2.0,5.0,3.0
5,17.0,0.5,1.0,2.0,1.0
0,34.0,0.5,5.0,3.0,5.0
5,26.0,0.5,3.0,7.0,1.0
1,17.0,13.1,4.0,4.0,5.0
0,46.0,4.9,1.0,3.0,2.0
0,20.0,2.1,5.0,3.0,3.0
0,37.0,9.1,5.0,7.0,1.0
0,38.0,0.5,4.0,6.0,4.0
0,23.0,6.1,5.0,2.0,2.0
0,33.0,6.9,5.0,6.0,1.0
0,37.0,11.9,2.0,4.0,5.0
0,17.0,0.9,2.0,5.0,2.0
1,17.0,9.2,2.0,3.0,5.0
0,37.0,1.9,5.0,4.0,1.0
0,23.0,9.8,4.0,5.0,1.0
5,47.0,14.5,2.0,3.0,4.0
4,42.0,5.1,4.0,7.0,1.0
0,26.0,0.5,2.0,4.0,4.0
0,33.0,19.2,1.0,7.0,4.0
0,32.0,7.7,5.0,2.0,4.0
0,33.0,10.6,1.0,4.0,4.0
3,39.0,19.7,5.0,2.0,3.0
1,32.0,3.0,1.0,1.0,5.0
0,53.0,9.0,5.0,6.0,5.0
0,32.0,5.2,1.0,5.0,4.0
0,31.0,9.5,3.0,2.0,5.0
1,23.0,8.7,2.0,3.0,4.0
4,29.0,13.9,4.0,3.0,1.0
0,37.0,14.8,5.0,2.0,3.0
4,38.0,5.8,3.0,3.0,2.0
0,38.0,1.6,4.0,2.0,4.0
2,25.0,11.2,5.0,2.0,2.0
0,22.0,3.0,5.0,7.0,2.0
0,38.0,3.2,3.0,1.0,1.0
0,19.0,8.1,2.0,2.0,4.0
1,25.0,5.6,3.0,3.0,1.0
0,40.0,6.4,4.0,6.0,3.0
0,35.0,12.6,2.0,4.0,2.0
0,31.0,8.8,5.0,3.0,4.0
0,35.0,10.0,5.0,3.0,2.0
3,26.0,3.1,3.0,4.0,1.0
0,24.0,6.7,2.0,5.0,2.0
0,17.0,16.0,5.0,1.0,3.0
0,30.0,10.0,2.0,2.0,5.0
0,29.0,8.2,4.0,3.0,4.0
3,42.0,18.0,2.0,7.0,2.0
6,31.0,13.4,1.0,5.0,1.0
0,40.0,9.3,2.0,7.0,5.0
1,18.0,2.4,2.0,6.0,3.0
0,41.0,4.1,1.0,2.0,3.0
0,30.0,10.7,2.0,7.0,5.0
0,46.0,9.7,4.0,2.0,3.0
0,34.0,12.2,5.0,6.0,5.0
2,32.0,5.0,3.0,6.0,1.0
0,17.0,13.5,1.0,5.0,4.0
2,39.0,3.3,1.0,2.0,3.0
0,36.0,0.5,2.0,2.0,3.0
4,32.0,12.5,1.0,5.0,2.0
0,26.0,7.1,3.0,6.0,4.0
1,28.0,6.9,3.0,6.0,1.0
2,47.0,1.9,2.0,2.0,1.0
0,17.0,3.5,5.0,3.0,5.0
0,41.0,5.9,5.0,2.0,2.0
0,40.0,11.4,4.0,4.0,3.0
0,38.0,7.5,3.0,1.0,5.0
4,27.0,10.8,1.0,6.0,3.0
1,38.0,9.4,1.0,1.0,5.0
0,17.0,9.6,1.0,5.0,4.0
0,25.0,7.1,4.0,2.0,3.0
0,30.0,5.4,4.0,4.0,4.0
0,22.0,7.1,4.0,1.0,4.0
0,42.0,0.5,3.0,5.0,4.0
6,33.0,15.5,2.0,4.0,1.0
0,47.0,8.8,4.0,6.0,5.0
0,33.0,1.3,3.0,6.0,5.0
5,32.0,10.2,2.0,2.0,2.0
0,33.0,8.0,4.0,2.0,4.0
0,28.0,14.0,3.0,1.0,4.0
0,25.0,13.7,3.0,2.0,4.0
6,27.0,8.7,2.0,2.0,1.0
2,17.0,0.5,4.0,5.0,2.0
0,43.0,4.1,4.0,2.0,4.0
0,30.0,12.4,4.0,2.0,3.0
0,40.0,3.0,2.0,1.0,4.0
0,35.0,11.0,5.0,6.0,4.0
0,20.0,4.3,3.0,1.0,5.0
0,41.0,7.0,2.0,3.0,5.0
0,43.0,5.5,3.0,4.0,3.0
0,35.0,5.1,2.0,4.0,4.0
0,27.0,7.5,4.0,3.0,4.0
2,31.0,14.2,1.0,1.0,5.0
4,30.0,11.6,2.0,5.0,1.0
3,37.0,4.5,1.0,6.0,3.0
0,31.0,3.1,2.0,6.0,5.0
0,42.0,6.1,4.0,6.0,2.0
6,27.0,3.9,2.0,4.0,1.0
0,37.0,7.9,2.0,5.0,2.0
4,17.0,11.2,1.0,5.0,1.0
0,53.0,9.7,3.0,4.0,1.0
2,40.0,0.5,4.0,6.0,1.0
0,35.0,9.9,1.0,1.0,4.0
0,29.0,11.0,3.0,1.0,1.0
2,25.0,12.2,1.0,3.0,1.0
0,33.0,12.5,5.0,3.0,2.0
1,29.0,10.3,1.0,1.0,2.0
0,41.0,9.2,4.0,7.0,5.0
6,22.0,11.7,1.0,3.0,2.0
1,31.0,3.3,2.0,5.0,1.0
4,27.0,13.1,4.0,4.0,2.0
0,47.0,5.0,4.0,3.0,2.0
1,27.0,7.7,2.0,5.0,3.0
4,17.0,8.1,4.0,7.0,1.0
1,34.0,9.8,3.0,4.0,5.0
2,45.0,7.7,3.0,3.0,1.0
6,32.0,17.5,3.0,2.0,1.0
0,28.0,0.5,2.0,4.0,5.0
0,30.0,4.1,5.0,3.0,5.0
0,27.0,6.4,4.0,7.0,5.0
5,17.0,10.3,4.0,4.0,1.0
0,49.0,2.5,4.0,7.0,3.0
0,34.0,13.9,5.0,7.0,2.0
0,25.0,12.1,2.0,3.0,4.0
6,36.0,7.7,3.0,2.0,1.0
3,20.0,10.4,1.0,3.0,5.0
0,27.0,6.2,5.0,1.0,3.0
0,21.0,6.1,2.0,2.0,3.0
0,24.0,0.5,4.0,6.0,1.0
1,24.0,4.4,4.0,2.0,4.0
2,34.0,15.7,2.0,3.0,3.0
0,33.0,3.6,5.0,5.0,4.0
0,43.0,9.1,1.0,3.0,2.0
0,57.0,8.6,4.0,6.0,4.0
0,29.0,9.2,1.0,7.0,5.0
0,31.0,10.3,1.0,7.0,5.0
2,31.0,6.5,3.0,2.0,2.0
3,33.0,8.5,3.0,3.0,4.0
0,29.0,8.3,2.0,5.0,3.0
0,17.0,12.6,1.0,7.0,5.0
0,17.0,2.6,5.0,6.0,4.0
1,33.0,5.3,4.0,1.0,5.0
